,last_four_difference,exp_win_difference,score_home,home_losses,spread_favorite,away_exp_win_pct,away_pt_diff_pg,weather_wind_mph,away_win_pct_last_4,h_ppg,a_ppg,home_exp_win_pct,home_pt_diff_pg,home_favorite,home_win_pct_last_4,over_under_line,total_ppg,total_points_against,weather_humidity,point_total,weather_temperature,schedule_season,a_papg,h_papg,per_game_difference,cluster
5463,0.25,-0.21084543588051036,23,4,-3.0,0.27725883918709393,-4.0,0.0,0.0,21.8,22.4,0.06641340330658356,-12.0,0,0.25,44.5,44.2,60.199999999999996,66.552,43,72.0,2002,26.4,33.8,-0.5999999999999979,0
5464,0.75,0.557786804587923,30,1,-7.0,0.1832635938329337,-6.2,11.0,0.25,28.83,21.2,0.7410503984208566,4.667,1,1.0,48.0,50.03,51.57,61.0,39,38.0,2002,27.4,24.17,7.629999999999999,1
5465,0.0,-0.15937263905514398,34,3,-3.0,0.7531298175709391,4.333,7.0,0.5,34.17,24.33,0.5937571785157951,2.0,0,0.5,50.5,58.5,52.17,68.0,71,45.0,2002,20.0,32.17,9.840000000000003,1
5466,0.25,0.4936328516768228,10,1,-6.0,0.4215931290112416,-1.6669999999999998,5.0,0.5,30.0,32.33,0.9152259806880644,10.0,1,0.75,45.5,62.33,54.0,80.0,33,80.0,2002,34.0,20.0,-2.3299999999999983,1
5467,0.0,-0.055836504431538536,35,1,-1.5,0.8730952630592176,6.8,0.0,0.75,31.0,23.0,0.817258758627679,6.832999999999999,1,0.75,48.5,54.0,40.370000000000005,66.552,62,72.0,2002,16.2,24.17,8.0,3
5468,-0.25,-0.17729155747465553,20,4,-3.0,0.18875452994435135,-7.0,13.0,0.25,15.0,26.0,0.011462972469695838,-17.4,1,0.0,49.0,41.0,65.4,64.0,27,56.0,2002,33.0,32.4,-11.0,0
5469,-0.25,0.015666755442055202,21,1,-7.0,0.90164006165722,8.0,9.0,0.75,35.0,24.33,0.9173068170992752,11.4,1,0.5,47.0,59.33,39.93,85.0,48,60.0,2002,16.33,23.6,10.670000000000002,3
5470,-0.5,-0.023493871078449025,20,2,-3.0,0.992780878605134,14.5,9.0,1.0,33.0,23.83,0.969287007526685,14.6,1,0.5,37.0,56.83,27.729999999999997,65.0,30,57.0,2002,9.33,18.4,9.170000000000002,3
5471,0.0,-0.21561939709147163,37,5,-6.5,0.3737050909735565,-2.0,0.0,0.25,17.0,21.0,0.15808569388208485,-6.0,1,0.25,44.5,38.0,46.0,66.552,57,72.0,2002,23.0,23.0,-4.0,0
5472,-0.25,-0.3139497643968916,28,3,-4.5,0.7883428488577542,4.8,4.0,0.75,22.0,22.8,0.4743930844608626,-0.4,1,0.5,46.0,44.8,40.4,78.0,38,44.0,2002,18.0,22.4,-0.8000000000000007,2
5473,0.0,-0.25398282024538743,18,3,-3.0,0.6674447355998635,2.667,7.0,0.75,17.33,23.0,0.4134619153544761,-1.167,0,0.75,37.5,40.33,38.83,77.0,49,54.0,2002,20.33,18.5,-5.670000000000002,2
5474,0.25,0.416474605791738,24,3,-7.5,0.10502089228917724,-9.5,12.0,0.5,31.0,22.0,0.5214954980809152,0.429,1,0.75,50.0,53.0,62.07,71.0,41,46.0,2002,31.5,30.57,9.0,1
5475,-0.75,-0.5116732157358244,9,4,-8.0,0.9749254342066724,11.0,5.0,0.75,14.57,21.86,0.463252218470848,-0.429,0,0.0,31.5,36.43,25.86,82.0,21,63.0,2002,10.86,15.0,-7.289999999999999,2
5476,-0.25,-0.15599628827550252,24,6,-4.5,0.15695960231508574,-7.167000000000001,6.0,0.25,8.5,21.67,0.0009633140395832172,-21.666999999999998,0,0.0,42.0,30.17,59.0,82.0,54,50.0,2002,28.83,30.17,-13.170000000000002,0
5477,0.25,-0.08322101363957529,14,4,-2.0,0.24524329764425795,-4.5,8.0,0.25,13.43,20.83,0.16202228400468266,-5.0,1,0.5,37.0,34.26,43.76,88.0,31,60.0,2002,25.33,18.43,-7.399999999999999,0
5478,0.5,0.6481827646476932,19,3,-11.0,0.028559037329372983,-12.333,7.0,0.0,21.33,13.83,0.6767418019770661,2.667,1,0.5,38.0,35.16,44.84,82.0,40,73.0,2002,26.17,18.67,7.499999999999998,0
5479,0.0,-0.3010993378098846,20,4,-2.5,0.8613261693567165,8.5,11.0,0.5,34.14,32.67,0.5602268315468318,1.286,0,0.5,55.5,66.81,57.03,88.0,30,41.0,2002,24.17,32.86,1.4699999999999989,1
5480,0.25,-0.14002229089693877,25,5,-2.0,0.2825538337020199,-3.833,0.0,0.0,22.83,22.0,0.14253154280508115,-8.0,1,0.25,46.0,44.83,56.66,66.552,32,72.0,2002,25.83,30.83,0.8299999999999983,1
5481,-0.5,-0.05664476913596295,16,3,-3.0,0.7315695034095631,4.143,14.0,0.5,25.33,26.14,0.6749247342736001,3.0,1,0.0,46.0,51.47,44.33,70.0,40,50.0,2002,22.0,22.33,-0.8100000000000023,1
5482,0.25,-0.0925191413837716,35,1,-3.5,0.9122382960788472,7.667000000000001,0.0,0.5,31.57,21.67,0.8197191546950756,7.0,1,0.75,47.0,53.24,38.57,66.552,72,72.0,2002,14.0,24.57,9.899999999999999,3
5483,0.0,-0.5536708293169321,21,4,-3.0,0.5903026026479129,1.429,14.0,0.25,15.83,23.0,0.036631773330980825,-12.333,1,0.25,44.0,38.83,49.74,66.0,45,54.0,2002,21.57,28.17,-7.17,0
5484,-0.25,0.07053579570433344,38,2,-8.5,0.6873144475342904,2.5,9.0,0.75,23.67,18.0,0.7578502432386238,4.333,1,0.5,40.5,41.67,34.83,77.0,66,56.0,2002,15.5,19.33,5.670000000000002,2
5485,-0.25,-0.4644111085713749,26,4,-1.0,0.5683299685725135,1.0,8.0,0.5,19.17,20.67,0.10391886000113856,-8.667,1,0.25,46.0,39.84,47.5,74.0,47,58.0,2002,19.67,27.83,-1.5,0
5486,0.25,0.6310041138376679,17,2,-7.0,0.3383465609319113,-2.0,7.0,0.25,30.83,14.33,0.9693506747695791,13.833,1,0.5,38.5,45.16,33.33,60.0,20,51.0,2002,16.33,17.0,16.5,2
5487,0.0,0.22362751514371404,14,3,-5.0,0.32734120103343123,-2.714,4.0,0.5,19.43,19.86,0.5509687161771453,0.7140000000000001,0,0.5,43.5,39.29,41.28,33.0,41,70.0,2002,22.57,18.71,-0.4299999999999997,2
